时间,温度(°C),湿度(%),EC(μS/cm),N(mg/kg),P(mg/kg),K(mg/kg)
2024-04-17 16:00:43,22.8,9.3,78,9,12,32
2024-04-17 16:00:44,22.8,9.3,79,9,13,33
2024-04-17 16:00:45,22.8,9.3,79,9,12,33
2024-04-17 16:00:46,22.8,9.3,79,9,13,33
2024-04-17 16:00:47,22.8,9.3,79,9,12,33
2024-04-17 16:00:48,22.8,9.4,79,9,12,33
2024-04-17 16:00:49,22.8,9.4,79,9,12,33
2024-04-17 16:00:50,22.8,9.3,79,9,13,33
2024-04-17 16:00:51,22.8,9.3,79,9,12,33
2024-04-17 16:00:52,22.8,9.3,79,9,12,33
2024-04-17 16:00:53,22.8,9.3,79,9,13,33
2024-04-17 16:00:54,22.8,9.4,79,9,12,33
2024-04-17 16:00:55,22.8,9.4,79,9,13,33
2024-04-17 16:00:57,22.8,9.3,79,9,13,33
2024-04-17 16:00:58,22.8,9.3,79,9,12,33
2024-04-17 16:00:59,22.8,9.3,79,9,12,33
2024-04-17 16:01:00,22.8,9.3,79,9,12,33
2024-04-17 16:01:01,22.8,9.3,79,9,12,33
2024-04-17 16:01:02,22.8,9.3,79,9,12,33
2024-04-17 16:01:03,22.8,9.3,78,9,12,32
2024-04-17 16:01:04,22.8,9.3,79,9,12,33
2024-04-17 16:01:05,22.8,9.3,79,9,12,33
2024-04-17 16:01:06,22.8,9.3,78,9,12,32
2024-04-17 16:01:07,22.8,9.3,79,9,12,33
2024-04-17 16:01:09,22.8,9.3,79,9,12,33
2024-04-17 16:01:10,22.8,9.4,79,9,12,33
2024-04-17 16:01:11,22.8,9.4,79,9,12,33
2024-04-17 16:01:12,22.8,9.5,79,9,12,33
2024-04-17 16:01:13,22.8,9.5,79,9,12,33
2024-04-17 16:01:14,22.8,9.4,79,9,12,33
2024-04-17 16:01:15,22.9,9.4,79,9,12,33
2024-04-17 16:01:16,22.9,9.4,79,9,12,33
2024-04-17 16:01:17,22.8,9.4,79,9,12,33
2024-04-17 16:01:19,22.8,9.4,79,9,12,33
2024-04-17 16:01:20,22.8,9.4,79,9,12,33
2024-04-17 16:01:21,22.8,9.5,78,9,12,32
2024-04-17 16:01:22,22.9,9.5,79,9,12,33
2024-04-17 16:01:23,22.9,9.4,78,9,12,32
2024-04-17 16:01:24,22.9,9.4,79,9,12,33
2024-04-17 16:01:25,22.9,9.4,78,9,12,32
2024-04-17 16:01:26,22.9,9.4,78,9,12,32
2024-04-17 16:01:27,22.9,9.4,79,9,12,33
2024-04-17 16:01:29,22.9,9.4,78,9,12,32
2024-04-17 16:01:30,22.9,9.3,79,9,12,33
2024-04-17 16:01:31,22.9,9.3,79,9,12,33
2024-04-17 16:01:32,22.9,9.4,79,9,12,33
2024-04-17 16:01:33,22.9,9.4,79,9,12,33
2024-04-17 16:01:34,22.9,9.3,79,9,12,33
2024-04-17 16:01:35,22.9,9.3,79,9,12,33
2024-04-17 16:01:36,22.9,9.4,79,9,12,33
2024-04-17 16:01:37,22.9,9.4,78,9,12,32
2024-04-17 16:01:39,22.9,9.4,79,9,12,33
2024-04-17 16:01:40,22.9,9.4,79,9,12,33
2024-04-17 16:01:41,22.9,9.3,79,9,12,33
2024-04-17 16:01:42,22.9,9.3,78,9,12,32
2024-04-17 16:01:43,22.9,9.4,79,9,12,33
2024-04-17 16:01:44,22.9,9.4,79,9,12,33
2024-04-17 16:01:45,22.9,9.3,79,9,12,33
2024-04-17 16:01:46,22.9,9.3,79,9,12,33
2024-04-17 16:01:47,22.9,9.3,79,9,12,33
