时间,光照(lx)
2024-04-16 23:02:23,16.0
2024-04-16 23:02:25,16.0
2024-04-16 23:02:28,14.0
2024-04-16 23:02:39,18.0
2024-04-16 23:02:41,17.0
2024-04-16 23:02:44,17.0
2024-04-16 23:02:47,17.0
2024-04-16 23:02:50,18.0
2024-04-16 23:02:53,18.0
2024-04-16 23:02:56,14.0
2024-04-16 23:03:00,17.0
2024-04-16 23:03:17,17.0
2024-04-16 23:03:19,15.0
2024-04-16 23:03:20,16.0
2024-04-16 23:03:21,16.0
2024-04-16 23:03:22,17.0
2024-04-16 23:03:23,16.0
2024-04-16 23:03:24,16.0
2024-04-16 23:03:25,16.0
2024-04-16 23:05:50,110.0
2024-04-16 23:05:51,112.0
2024-04-16 23:05:52,111.0
2024-04-16 23:05:53,112.0
2024-04-16 23:05:55,112.0
2024-04-16 23:05:56,113.0
2024-04-16 23:05:57,114.0
2024-04-16 23:05:58,114.0
2024-04-16 23:05:59,114.0
2024-04-16 23:06:00,113.0
2024-04-16 23:06:06,18.0
2024-04-16 23:06:08,109.0
2024-04-16 23:06:09,110.0
2024-04-16 23:06:10,110.0
2024-04-16 23:06:11,111.0
2024-04-16 23:06:12,110.0
2024-04-16 23:06:13,110.0
2024-04-16 23:06:14,109.0
2024-04-16 23:06:15,109.0
2024-04-16 23:06:37,17.0
2024-04-16 23:06:38,106.0
2024-04-16 23:06:39,106.0
2024-04-16 23:06:40,106.0
2024-04-16 23:06:42,106.0
2024-04-16 23:06:43,106.0
2024-04-16 23:06:44,105.0
2024-04-16 23:07:41,17.0
2024-04-16 23:07:42,63.0
2024-04-16 23:07:44,65.0
2024-04-16 23:07:45,65.0
2024-04-16 23:07:46,64.0
2024-04-16 23:07:47,65.0
2024-04-16 23:07:48,64.0
2024-04-16 23:07:49,65.0
2024-04-16 23:07:50,65.0
2024-04-16 23:07:51,64.0
2024-04-16 23:07:53,64.0
2024-04-16 23:07:54,63.0
2024-04-16 23:07:55,62.0
2024-04-16 23:07:56,62.0
2024-04-16 23:07:57,62.0
2024-04-16 23:07:58,62.0
2024-04-16 23:07:59,62.0
2024-04-16 23:08:00,62.0
2024-04-16 23:08:01,62.0
2024-04-16 23:08:03,62.0
2024-04-16 23:08:04,63.0
2024-04-16 23:08:05,63.0
2024-04-16 23:08:06,62.0
2024-04-16 23:08:07,61.0
2024-04-16 23:08:08,60.0
2024-04-16 23:08:19,16.0
2024-04-16 23:08:20,60.0
2024-04-16 23:08:22,59.0
2024-04-16 23:08:23,59.0
2024-04-16 23:08:24,59.0
2024-04-16 23:08:25,59.0
2024-04-16 23:08:26,59.0
2024-04-16 23:08:55,17.0
2024-04-16 23:08:57,49.0
2024-04-16 23:08:58,50.0
2024-04-16 23:08:59,49.0
2024-04-16 23:09:00,49.0
2024-04-16 23:09:02,49.0
2024-04-16 23:09:03,49.0
2024-04-16 23:09:04,49.0
2024-04-16 23:09:05,49.0
2024-04-16 23:09:06,49.0
2024-04-16 23:09:07,49.0
2024-04-16 23:09:08,48.0
2024-04-16 23:09:09,48.0
2024-04-16 23:09:10,48.0
2024-04-16 23:09:12,48.0
2024-04-16 23:09:13,48.0
2024-04-16 23:09:14,48.0
2024-04-16 23:09:15,48.0
2024-04-16 23:09:16,47.0
2024-04-16 23:09:17,47.0
2024-04-16 23:09:18,46.0
2024-04-16 23:09:19,46.0
2024-04-16 23:09:21,47.0
2024-04-16 23:09:22,47.0
2024-04-16 23:09:23,47.0
2024-04-16 23:09:24,47.0
2024-04-16 23:10:05,17.0
2024-04-16 23:10:07,47.0
2024-04-16 23:10:08,46.0
2024-04-16 23:10:09,46.0
2024-04-16 23:11:06,16.0
2024-04-16 23:11:07,37.0
2024-04-16 23:11:08,37.0
2024-04-16 23:11:10,39.0
2024-04-16 23:11:11,39.0
2024-04-16 23:11:12,37.0
2024-04-16 23:11:13,36.0
2024-04-16 23:11:14,39.0
2024-04-16 23:11:15,37.0
2024-04-16 23:11:16,37.0
2024-04-16 23:11:17,35.0
2024-04-16 23:11:19,34.0
2024-04-16 23:11:20,38.0
2024-04-16 23:11:21,38.0
2024-04-16 23:11:22,37.0
2024-04-16 23:11:23,37.0
2024-04-16 23:11:24,37.0
2024-04-16 23:11:31,19.0
2024-04-16 23:11:33,37.0
2024-04-16 23:11:34,37.0
2024-04-16 23:11:35,37.0
2024-04-16 23:11:36,37.0
2024-04-16 23:11:37,37.0
2024-04-16 23:11:38,37.0
2024-04-16 23:11:40,37.0
2024-04-16 23:11:41,36.0
2024-04-16 23:11:42,36.0
2024-04-16 23:11:43,36.0
2024-04-16 23:11:44,36.0
